Medical Code,Cost
13632,406.69
38452,362.17
68924,245.76
81382,131.28
7693C,6532.52
6153P,198.78
6073E,409.19
2638F,469.61
42802,339.78
89424,366.03
47317,123.06
5390I,209.58
5096F,7577.84
9645D,485.85
40501,340.7
4143S,539.55
1559E,107.42
95780,461.02
5944P,448.69
2505O,202.02
1966O,127.81
57724,6582.85
9880A,209.94
96879,392.07
56443,398.12
65003,178.99
7925K,206.12
27476,379.68
7781G,371.43
26419,375.2
22374,188.3
6889W,328.02
23875,460.88
1903F,97.97
69697,436.95
5992T,218.74
7680V,4040.11
6246E,4179.36
9492M,325.84
25933,131.34
62495,259.15
6287Z,85.65
63622,85.21
66407,1669.59
8543W,424.41
50592,5806.49
2287C,313.28
33833,391.26
3527V,183.06
92572,119.05
31478,447.27
7089O,374.97
7444B,213.66
61034,190.57
94695,418.52
70261,345.98
55119,102.45
2868K,222.92
92795,5981.31
7637F,7535.41
2810U,359.03
4921O,90.89
15783,102.59
61355,93.27
7434H,283.32
87525,251.57
3140K,250.74
4546S,108.34
1237I,472.95
64315,452.03
2380L,299.41
1925Y,219.31
9929M,259.51
6065R,247.36
34133,6266.02
7948P,216.78
8357S,8581.92
55035,272.8
9033U,91.98
1884Q,491.55
5207N,7553.91
6408G,339.26
34225,7211.01
9808E,327.59
88629,6330.56
5156Z,3224.39
6510T,210.17
92535,212.79
3879W,126.83
55816,161.92
3206A,386.38
53361,461.57
6192N,234.35
98691,387.61
3957J,204.27
1759T,472.0
5432M,1429.37
5323U,342.83
38968,235.22
8201M,464.96
49230,255.06
92013,363.6
13089,472.6
78270,64.77
4538M,479.84
98190,3918.54
12555,303.13
14013,9220.33
72997,4454.22
7719G,354.39
3119N,2663.03
2876I,68.02
81539,4732.08
2939M,104.19
67966,64.24
13210,6023.02
28105,429.37
8974Z,321.42
6282S,5558.31
88052,274.23
16069,324.83
36846,455.49
6185J,2151.4
6075B,291.78
5775N,124.13
2130R,463.4
32171,2068.31
81695,53.56
53468,192.08
24324,5078.41
5097G,273.34
91020,7540.77
67767,283.53
1972S,9564.28
26745,237.53
98397,321.08
7572J,1166.83
7348K,474.26
5871M,2249.09
40090,372.42
67850,321.18
81716,429.1
5712J,295.09
14099,386.21
52017,194.53
8750H,458.78
2818Q,272.98
96338,311.9
98310,236.63
33453,453.19
37381,221.71
16187,248.0
58687,9711.88
8484R,73.54
78276,217.82
85910,232.47
71609,81.21
50919,139.37
37062,8059.27
56492,211.22
1020B,435.24
9684K,3558.12
64010,8321.04
3450J,422.47
84669,145.99
1573E,262.5
49523,202.06
17097,296.94
9217I,386.64
53357,3295.25
72623,5249.76
1996C,122.51
16798,477.58
9586A,7307.84
91370,396.31
1491X,480.65
8526V,263.51
17101,424.83
90196,5608.52
8719D,481.39
41865,441.98
4371X,288.8
43586,436.17
1605A,498.82
38193,205.27
1326I,117.39
7864O,2898.56
6286P,607.84
42861,414.0
3388N,331.89
8688T,464.24
3290O,9145.11
1867V,169.69
8821G,127.37
74643,308.85
36024,405.01
46781,329.48
47159,143.61
17008,363.72
45686,55.05
41055,323.64
80058,453.37
4789Q,428.54
2177I,184.67
95684,9317.91
3652V,8201.89
58837,171.24
9833O,476.03
11446,451.98
6420X,82.73
9617F,139.58
75536,242.24
9443R,252.53
9232U,268.17
38028,453.5
55657,470.09
7029N,7698.85
64557,205.01
5847A,442.6
38921,52.38
5236I,426.23
77219,94.14
92700,4203.02
1793U,8625.1
8452U,454.26
3498S,96.39
38018,388.4
2447J,8250.47
56565,398.12
41976,77.09
8613N,229.07
8037I,2543.77
7097N,267.84
8150J,9845.22
1065L,344.06
6599B,489.76
1399R,55.77
4559N,126.15
9431Q,432.08
60222,2536.85
84347,272.43
7462V,321.38
4031Y,137.37
13819,478.73
43094,1010.51
1997B,142.9
55638,402.27
8921N,211.29
92139,463.46
87332,381.45
61062,346.27
78220,455.22
10807,376.37
8774I,197.69
49727,302.72
7851Z,52.56
5391X,493.02
9401D,9963.01
93958,123.41
38919,158.95
22656,8758.58
8595T,79.85
83706,238.65
35208,275.37
7011W,9285.31
1170U,7390.51
2544L,341.8
9490H,3897.15
69970,2608.11
28345,94.31
5218N,98.95
36070,205.79
21215,280.41
6860I,441.71
53871,382.33
70559,8921.77
6976W,194.31
6482A,361.81
9577L,414.99
4859B,482.72
8860I,387.61
53281,433.86
75990,121.95
2437H,228.39
3110U,454.08
5389M,399.45
3353J,85.96
29473,71.68
1720Y,183.57
26658,7683.73
3077N,144.57
3327G,2745.85
74586,4265.01
56611,145.02
57347,8358.32
82990,204.23
1044H,449.59
36886,214.53
13758,9366.32
5712N,172.98
6792D,486.2
21358,251.16
87156,8501.94
96927,109.12
4465J,315.61
94316,468.2
4659H,362.1
3632C,325.54
36212,320.66
74211,2638.24
44801,8150.47
94808,396.68
44572,7471.06
95325,222.88
1003O,6914.6
22458,1851.97
14109,365.51
39360,157.27
6216A,357.77
8435L,9507.6
2537B,5812.09
72088,366.75
74325,491.02
44902,96.05
8899S,456.78
9862W,6437.25
64180,152.53
78444,185.13
2414S,56.4
3735S,6338.05
85090,5735.83
18865,298.36
3717J,496.42
8005F,411.05
74140,867.75
94478,82.42
30135,466.01
3879E,243.28
18229,282.79
5900I,320.98
44302,135.25
97148,230.18
7215U,288.78
4952B,433.0
8373X,451.49
16373,120.39
3215H,85.84
6986N,945.32
4486W,340.23
7290U,206.52
7357C,125.62
51542,376.03
7215A,210.48
31826,165.6
1471G,448.72
33825,439.1
2055S,430.33
39964,375.34
33595,142.74
46886,96.42
79758,4904.16
3321M,459.05
39623,126.86
6885I,3848.78
9831M,86.96
6759K,477.35
4629J,59.0
91547,85.04
78453,206.82
36377,222.69
52120,398.63
9478J,3001.37
35192,4383.06
91116,437.28
22036,396.63
70816,3320.07
29051,85.35
1060L,2400.21
8221K,378.1
4607H,334.74
33536,488.68
4305U,427.19
2154Q,302.29
93833,2402.89
37076,380.39
3304H,376.83
9619B,464.01
7177D,331.26
48294,291.22
5729L,453.68
32052,395.33
6976H,3709.79
13879,85.37
2489D,430.11
51641,295.01
2503T,198.12
