Medical Code,Procedure Name,Cost
13632,Abdominal hysterectomy,177.96
38452,Abdominal Surgery for Crohn's disease,65.65
68924,Abdominoplasty,349.95
81382,Abscess incision and drainage,235.62
7693C,ACL reconstruction,8153.71
6153P,Adeno-tonsillectomy (child),320.27
6073E,Adenoidectomy,237
2638F,Anaesthetics (overview),6319.23
42802,Angiogram,6459.46
89424,Angioplasty,8113.47
47317,Ankle arthrodesis,380.12
5390I,Ankle fracture surgery,397.45
5096F,Anterior repair,992.83
9645D,Aortic valve replacement,126.67
40501,Appendectomy,394.73
4143S,Arthroscopic release of frozen shoulder,353.97
1559E,Arthroscopy,335.13
95780,Arthroscopy of the ankle,5965.52
5944P,Arthroscopy of the elbow,190.38
2505O,Arthroscopy of the knee,91.28
1966O,Arthroscopy of the shoulder,225.74
57724,Arthroscopy of the wrist,322.5
9880A,Assisted vaginal delivery (antenatal use),447.97
96879,Axillary node clearance,355.87
56443,Bariatric surgery guide,431.23
65003,Bilateral vasectomy,358.89
7925K,Biopsy,209.66
27476,Bladder-neck incision,5935.77
7781G,Blepharoplasty,448.46
26419,Blood testing,6180.65
22374,Breast implants (breast augmentation),199.78
6889W,Breast reconstruction with abdominal tissue flap,165.51
23875,Breast reconstruction with an implant or tissue expander,61.01
1903F,Breast reconstruction with latissimus dorsi flap,347.09
69697,Breast reduction,203.73
5992T,Breast uplift,3140.48
7680V,Bronchoscopy,7612.44
6246E,Bunion surgery,79.68
9492M,Calcium blood test,173.65
25933,Cardiac catheterisation,7276.95
62495,Carpal tunnel release,364.78
6287Z,Cataract surgery,449.81
63622,Cervical laminectomy,6343.72
66407,Chest wall perforator flap breast reconstruction,321.12
8543W,Cholecystectomy,7578.85
50592,Cholecystectomy and exploration of the bile duct,5618.71
2287C,Cholesteatoma surgery,464.84
33833,Circumcision,460.49
3527V,Clinical trials,340.64
92572,Closure of loop colostomy,258.16
31478,Closure of loop ileostomy,149.26
7089O,Colon resection for colon cancer,131.66
7444B,Colonoscopy,239.76
61034,Colonoscopy (child),412.67
94695,Colostomy,387.07
70261,Colposcopy,151.11
55119,Corneal transplant surgery,51.79
2868K,Coronary angiogram,1359.79
92795,Coronary artery bypass graft,2755.32
7637F,Correcting a squint (adult),279.65
2810U,Correcting a squint (child),390.46
4921O,Cosmetic procedures,95.99
15783,Cosmetic surgery,136.02
61355,CT scan,125.79
7434H,De Quervain Disease,368.85
87525,Dental bridge,140.63
3140K,Dental fillings,6355.11
4546S,Dental procedures (guide),8059.63
1237I,Diabetes screening tests,204.14
64315,Dupuytren's fasciectomy,2654.43
2380L,Elective caesarean section,997.65
1925Y,Elective splenectomy,5617.66
9929M,Electrocardiogram (ECG),8457.31
6065R,Electroencephalogram (EEG),7557.93
34133,Endometrial biopsy,318.41
7948P,Endoscopic sinus surgery,299.78
8357S,Endoscopic ultrasound,9550.7
55035,Endoscopy,461.03
9033U,Endovenous ablation,216.61
1884Q,Entropion and ectropion repair,308.42
5207N,Epidural anaesthetic,411.32
6408G,Epidural injection for chronic pain relief,463
34225,Epigastric hernia repair (adult),6881.26
9808E,Epigastric hernia repair (child),230.57
88629,Excision biopsy of a breast lump,1351
5156Z,Excision of a ganglion,466.6
6510T,External cardioversion,446.62
92535,Eye tests,260.62
3879W,Facelift,3954.62
55816,Facet joint injection,154.64
3206A,Female sterilisation,7149.15
53361,Femoral hernia repair,250.09
6192N,Fillings (dental),3461.89
98691,Flexible cystoscopy (female),495.99
3957J,Flexible cystoscopy (male),2155.02
1759T,Flexible sigmoidoscopy,142.53
5432M,Gastric sleeve surgery,188.88
5323U,Gastroscopy,297.41
38968,Gender affirming surgery,451.45
8201M,General anaesthetic (child),386.4
49230,Glaucoma surgery,4436.97
92013,Grommets,499.87
13089,Guide to cosmetic surgery,243.08
78270,Guide to dental procedures,431
4538M,Gynaecomastia surgery,257.17
98190,Haemorrhoidectomy,459.05
12555,Hair transplant,463.27
14013,Hearing tests,130.99
72997,Heart surgery,191.12
7719G,Heart transplants,107.59
3119N,Hydrocele repair (child),466.07
2876I,Hysterectomy,366.22
81539,Hysterectomy (abdominal),482.51
2939M,Hysterectomy (laparoscopic),213.51
67966,Hysterectomy (vaginal),402.22
13210,Hysteroscopic endometrial ablation,7603.46
28105,Hysteroscopy,9693.64
8974Z,ICD,1490.17
6282S,Imaging-assisted wide local excision,208.9
88052,Implantable cardioverter defibrillators,7569.44
16069,Ingrown toenail (surgery),5120.2
36846,Inguinal hernia repair (child),4559.15
6185J,Injection or banding of haemorrhoids,503.41
6075B,Inserting a gastric balloon,384.57
5775N,Inserting a pacemaker,380.74
2130R,Inserting a primary gastrostomy device (child),311.41
32171,Inserting an internal cardioverter defibrillator,456.18
81695,Inserting an IUCD,5539.41
53468,Iron Infusion,245.84
24324,Kidney transplants,169.82
5097G,Knee replacement,326.52
91020,Laminectomy,323.52
67767,Laparoscopic cholecystectomy,307.32
1972S,Laparoscopic Heller's cardiomyotomy,443.06
26745,Laparoscopic hysterectomy,341.94
98397,Laparoscopic incisional hernia repair,313.73
7572J,Laparoscopic inguinal hernia repair (TAPP),173.49
7348K,Laparoscopic inguinal hernia repair (TEP),158.53
5871M,Laparoscopic Nissen fundoplication,221.93
