Medical Code,Cost
13632,446.97
38452,139.5
68924,105.83
81382,393.4
7693C,218.1
6153P,382.76
6073E,480.74
2638F,4504.12
42802,293.83
89424,6722.6
47317,186.46
5390I,309.88
5096F,140.1
9645D,261.56
40501,90.03
4143S,7227.66
1559E,284.76
95780,181.57
5944P,215.04
2505O,461.38
1966O,94.88
57724,247.89
9880A,280.02
96879,52.49
56443,239.52
65003,120.24
7925K,79.68
27476,190.41
7781G,491.82
26419,76.52
22374,135.39
6889W,134.26
23875,395.8
1903F,168.27
69697,417.4
5992T,300.31
7680V,7186.49
6246E,154.6
9492M,420.35
25933,116.59
62495,376.34
6287Z,8277.41
63622,456.82
66407,495.8
8543W,278.62
50592,73.45
2287C,277.55
33833,5612.54
3527V,457.93
92572,477.14
31478,99.29
7089O,1672.38
7444B,66.79
61034,292.74
94695,328.43
70261,362.75
55119,485.25
2868K,8164.74
92795,9609.59
7637F,9709.34
2810U,338.47
4921O,9510.69
15783,2516.33
61355,71.55
7434H,7104.63
87525,374.02
3140K,160.76
4546S,62.68
1237I,435.18
64315,461.17
2380L,4348.47
1925Y,290.94
9929M,405.63
6065R,288.43
34133,209.87
7948P,236.92
8357S,179.49
55035,100.04
9033U,108.44
1884Q,432.32
5207N,4405.01
6408G,588.26
34225,7321.14
9808E,5309.55
88629,491.33
5156Z,100.85
6510T,289.35
92535,323.66
3879W,416.57
55816,8236.83
3206A,437.24
53361,286.44
6192N,449.32
98691,7122.16
3957J,292.35
1759T,1970.38
5432M,288.41
5323U,100.83
38968,287.09
8201M,218.3
49230,301.81
92013,487.24
13089,8548.15
78270,7455.34
4538M,4839.13
98190,181.56
12555,8182.74
14013,387.0
72997,409.83
7719G,395.95
3119N,121.03
2876I,136.47
81539,104.82
2939M,175.13
67966,132.81
13210,271.42
28105,473.16
8974Z,171.63
6282S,201.51
88052,461.27
16069,384.0
36846,78.86
6185J,2064.15
6075B,363.06
5775N,148.91
2130R,356.75
32171,270.74
81695,203.6
53468,4296.01
24324,340.63
5097G,201.77
91020,298.9
67767,316.52
1972S,805.87
26745,310.08
98397,332.79
7572J,356.93
7348K,404.49
5871M,7969.04
40090,96.25
67850,207.95
81716,333.24
5712J,451.73
14099,65.7
52017,4347.44
8750H,356.74
2818Q,109.14
96338,270.88
98310,186.47
33453,352.8
37381,98.1
16187,397.97
58687,83.38
8484R,493.09
78276,489.9
85910,285.1
71609,7125.19
50919,297.75
37062,160.73
56492,3153.0
1020B,57.77
9684K,1888.06
64010,395.43
3450J,196.97
84669,2502.15
1573E,327.95
49523,303.79
17097,193.58
9217I,164.92
53357,206.31
72623,168.98
1996C,59.18
16798,279.24
9586A,69.68
91370,137.9
1491X,216.71
8526V,103.86
17101,286.25
90196,399.44
8719D,494.02
41865,320.98
4371X,7583.1
43586,320.73
1605A,513.13
38193,84.9
1326I,253.68
7864O,75.08
6286P,115.99
42861,1975.53
3388N,314.34
8688T,357.46
3290O,376.08
1867V,9333.52
8821G,284.1
74643,446.07
36024,472.46
46781,202.03
47159,95.13
17008,87.21
45686,454.33
41055,298.31
80058,1945.67
4789Q,59.0
2177I,420.81
95684,164.52
3652V,4580.13
58837,254.19
9833O,277.78
11446,476.53
6420X,373.83
9617F,1132.58
75536,287.24
9443R,363.32
9232U,230.22
38028,234.89
55657,449.23
7029N,358.57
64557,101.85
5847A,178.6
38921,237.11
5236I,3297.99
77219,337.27
92700,330.86
1793U,178.85
8452U,3916.58
3498S,456.44
38018,2024.58
2447J,7980.29
56565,9717.58
41976,358.78
8613N,474.57
8037I,1199.55
7097N,71.99
8150J,155.81
1065L,5717.63
6599B,1200.47
1399R,1709.62
4559N,205.77
9431Q,287.97
60222,9820.29
84347,257.65
7462V,426.99
4031Y,372.84
13819,393.66
43094,355.86
1997B,2404.07
55638,190.99
8921N,1399.14
92139,4885.98
87332,7094.71
61062,146.26
78220,376.85
10807,466.79
8774I,3845.17
49727,293.67
7851Z,4663.88
5391X,280.02
9401D,342.27
93958,377.79
38919,8007.64
22656,6437.3
8595T,430.64
83706,334.59
35208,495.04
7011W,471.77
1170U,488.05
2544L,396.43
9490H,248.24
69970,436.19
28345,3299.1
5218N,359.73
36070,1805.43
21215,148.94
6860I,383.08
53871,9192.64
70559,426.64
6976W,360.34
6482A,1849.87
9577L,204.45
4859B,2651.37
8860I,62.04
53281,53.64
75990,382.58
2437H,204.67
3110U,259.14
5389M,74.43
3353J,471.57
29473,5598.15
1720Y,484.84
26658,171.17
3077N,421.78
3327G,264.07
74586,117.43
56611,62.53
57347,369.72
82990,209.89
1044H,394.39
36886,149.11
13758,486.01
5712N,3593.55
6792D,366.65
21358,1613.8
87156,3985.33
96927,373.57
